Customer_ID,Age,Income,Spending_Score,Family_Members,Last_Transaction_Days
1,56,72733,93,1,341
2,46,85318,46,2,282
3,32,129953,6,5,63
4,60,109474,99,2,217
5,25,43664,37,2,342
6,38,87172,24,2,315
7,56,105616,93,2,283
8,36,145879,46,3,177
9,40,113264,53,1,98
10,28,135386,95,4,105
11,28,46736,99,2,99
12,41,114209,60,5,311
13,53,123041,97,2,6
14,57,132859,63,5,197
15,41,132181,85,3,351
16,20,20854,32,5,133
17,39,110084,87,4,358
18,19,58623,33,1,259
19,41,27392,67,5,23
20,61,75680,18,5,53
21,47,146354,25,1,165
22,55,66717,95,4,202
23,19,139937,54,2,83
24,38,107092,58,5,145
25,50,70859,67,1,85
26,29,145657,46,3,78
27,39,124095,24,1,1
28,61,46309,32,3,51
29,42,107455,47,4,173
30,44,83734,86,2,205
31,59,90467,23,1,260
32,45,72662,66,5,288
33,33,118506,27,4,34
34,32,129751,2,1,348
35,64,138906,90,5,95
36,61,32688,17,1,72
37,20,45342,33,3,39
38,54,57157,9,1,154
39,24,87863,43,1,250
40,38,126308,48,1,162
41,26,72083,39,4,118
42,56,126081,93,1,259
43,35,85733,42,5,306
44,21,109045,26,3,268
45,42,54698,99,3,54
46,31,130078,50,1,236
47,26,100623,25,4,222
48,43,42671,24,4,251
49,19,45184,13,5,313
50,37,113384,60,1,112
51,45,62107,7,3,255
52,64,106202,57,4,303
53,24,129893,36,1,207
54,61,71663,45,4,229
55,25,35708,20,4,341
56,64,111906,65,3,66
57,52,69811,8,2,75
58,31,22811,16,5,103
59,34,76250,14,5,192
60,53,132547,76,3,252
61,57,92082,87,4,226
62,21,144249,15,1,294
63,19,54754,92,4,306
64,23,115742,98,3,98
65,59,126642,66,5,338
66,21,31411,32,4,286
67,46,22911,87,5,335
68,35,87270,63,1,347
69,43,103763,86,5,308
70,61,28680,51,5,249
71,51,104896,25,2,166
72,27,103879,58,2,335
73,53,91295,63,2,30
74,31,108614,62,5,247
75,48,120689,22,3,106
76,32,31111,58,5,51
77,25,57504,58,3,81
78,31,21802,86,3,133
79,40,28155,49,2,285
80,57,93656,52,4,138
81,38,59384,42,1,184
82,33,132561,70,2,330
83,62,67254,15,2,273
84,35,41918,54,4,340
85,64,105981,60,1,69
86,41,80713,97,5,34
87,43,50306,8,5,262
88,42,36646,53,2,53
89,62,66843,60,1,205
90,58,140975,5,2,126
91,46,116601,68,3,235
92,32,110735,6,2,43
93,62,127512,96,2,240
94,18,36371,94,5,111
95,42,97371,47,5,249
96,24,131472,99,5,151
97,26,22049,55,3,183
98,41,51616,40,5,336
99,18,123727,52,1,95
100,61,132893,16,4,8
101,25,146603,13,1,360
102,41,40932,30,1,184
103,28,137796,19,5,281
104,34,49855,17,4,195
105,25,81434,63,4,352
106,52,92694,19,4,195
107,52,63016,92,3,155
108,50,27400,58,5,93
109,22,137858,55,4,160
110,59,62642,90,3,61
111,56,35151,90,2,122
112,58,71407,62,2,51
113,45,86690,23,3,277
114,24,24499,9,3,5
115,26,26295,12,5,92
116,25,140885,1,5,170
117,29,146071,58,2,317
118,51,79040,1,4,22
119,50,32183,34,2,326
120,40,49299,96,4,1
121,41,32874,48,4,133
122,54,136336,89,5,233
123,52,52711,1,1,12
124,61,25539,16,1,346
125,57,127941,61,3,46
126,39,73351,64,5,34
127,44,81267,63,4,78
128,52,143133,69,1,218
129,18,68354,22,4,301
130,52,146063,93,1,73
131,54,22557,67,1,282
132,64,58360,76,1,249
133,31,102018,26,5,47
134,20,22200,16,2,121
135,18,132476,51,4,214
136,22,88497,86,5,239
137,43,66975,57,5,56
138,31,41357,29,5,350
139,56,139121,78,5,107
140,44,97505,92,5,319
141,26,22869,69,3,48
142,32,146114,47,4,61
143,32,81135,94,5,337
144,43,70108,62,4,26
145,59,132296,69,3,292
146,30,114179,76,3,257
147,49,110272,16,4,8
148,56,58467,90,1,113
149,49,43328,90,2,355
150,21,139181,48,1,253
151,47,111412,85,1,180
152,54,106831,39,1,207
153,40,23987,33,5,303
154,56,78871,94,3,127
155,62,42399,23,1,56
156,32,148391,10,3,214
157,60,66214,69,4,14
158,46,119522,34,2,28
159,53,106416,52,4,78
160,30,90271,95,4,216
161,49,64064,10,5,154
162,24,145615,19,2,14
163,39,90091,58,4,187
164,45,127450,96,4,312
165,19,60818,1,2,7
166,59,65525,69,2,3
167,62,39830,4,4,111
168,23,37429,16,2,238
169,45,26893,24,4,363
170,45,136381,80,4,239
171,61,99909,2,5,274
172,61,67333,92,1,294
173,37,23436,32,4,227
174,47,94290,91,3,15
175,28,96213,84,1,192
176,45,25895,24,1,119
177,42,39738,12,1,28
178,56,50746,50,5,202
179,50,69377,35,4,39
180,18,68404,33,5,273
181,44,74045,33,4,231
182,30,117888,61,5,86
183,58,149307,51,5,126
184,20,59790,43,3,300
185,56,127455,12,5,25
186,23,25600,67,2,145
187,25,114660,65,3,13
188,44,113179,33,5,212
189,26,60764,40,1,25
190,54,94543,74,2,68
191,50,65714,43,2,67
192,59,76835,44,2,233
193,61,122946,29,3,109
194,41,148191,13,5,146
195,32,129616,12,5,111
196,49,125983,95,1,228
197,49,93744,46,1,111
198,41,76491,2,2,34
199,58,144123,35,1,111
200,29,38589,87,3,264
