Customer_ID,Age,Income,Spending_Score,Transaction_Frequency
1,36,132798,94,18
2,34,119022,22,30
3,50,22588,78,11
4,29,26221,52,23
5,59,46980,37,26
6,52,147661,22,44
7,36,26775,56,27
8,27,70415,62,42
9,56,70736,44,24
10,22,25971,85,35
11,34,101081,64,11
12,62,100136,87,16
13,57,78620,50,22
14,31,25024,72,47
15,43,141179,46,49
16,42,47210,98,29
17,53,66406,4,13
18,40,113870,74,32
19,49,25504,32,31
20,33,76042,81,32
21,18,30028,49,40
22,19,131677,67,34
23,52,31162,91,23
24,47,117025,26,8
25,51,123649,88,31
26,60,122542,5,3
27,29,54027,48,2
28,40,36425,22,36
29,60,82479,62,41
30,46,95922,83,19
31,37,72648,84,29
32,50,109623,93,35
33,56,139076,75,41
34,40,134553,89,44
35,45,65319,51,11
36,33,46659,93,3
37,60,57597,31,44
38,28,73237,1,12
39,22,50635,9,38
40,55,86922,54,49
41,55,132918,65,43
42,25,34056,54,42
43,45,55718,87,37
44,31,37133,51,11
45,57,130533,74,1
46,52,74880,98,8
47,20,32056,21,23
48,28,111026,9,1
49,58,144554,22,42
50,36,123432,55,46
51,33,148198,20,46
52,61,60424,18,35
53,50,67771,21,28
54,38,44007,5,41
55,36,109121,48,19
56,27,41321,34,36
57,34,138333,1,44
58,63,65472,54,3
59,35,147737,75,6
60,63,42417,58,38
61,32,81881,44,22
62,27,65289,97,15
63,63,63995,74,47
64,36,137577,91,25
65,59,63670,25,43
66,22,114370,88,11
67,47,91707,18,27
68,33,131441,75,30
69,28,115152,74,33
70,19,139008,55,18
71,27,118227,87,41
72,63,57499,25,24
73,47,103900,55,24
74,32,136883,23,29
75,21,99316,19,32
76,30,105558,20,33
77,29,137843,12,10
78,53,81264,88,45
79,36,76005,24,4
80,46,121146,24,18
81,39,95612,90,42
82,56,88245,2,39
83,40,33189,20,13
84,36,59139,57,46
85,38,130561,40,41
86,29,55589,26,19
87,52,26321,37,17
88,64,85018,42,33
89,55,61825,61,43
90,21,83231,48,39
91,50,53710,50,36
92,52,128486,69,45
93,18,127336,25,4
94,47,100016,90,40
95,50,86372,29,38
96,56,45879,4,12
97,30,34974,49,48
98,57,92741,87,48
99,51,20408,50,21
100,40,121218,4,33
101,61,114000,41,49
102,24,137663,22,49
103,34,84377,65,31
104,51,26934,56,49
105,56,148462,37,12
106,38,48994,51,35
107,31,120152,82,1
108,59,77624,45,2
109,46,103852,89,7
110,54,20877,81,13
111,30,106110,85,16
112,64,23632,69,28
113,58,75403,63,39
114,37,128635,39,13
115,60,95718,77,47
116,64,25041,44,48
117,28,95633,8,4
118,63,45774,90,32
119,51,71363,3,44
120,50,68069,31,42
121,51,115473,36,27
122,47,72236,36,49
123,19,43762,20,19
124,60,24882,53,2
125,43,66767,50,37
126,19,65209,11,37
127,32,132715,29,6
128,57,83849,91,26
129,36,103446,59,23
130,62,128709,8,47
131,42,43435,14,33
132,63,82952,32,8
133,54,138654,24,38
134,47,62570,77,25
135,42,108463,19,11
136,43,69098,13,2
137,20,69998,99,8
138,29,50234,86,8
139,18,60316,74,20
140,55,143645,92,49
141,49,58969,70,27
142,25,36587,85,44
143,59,25709,14,40
144,27,144343,23,15
145,39,109591,17,48
146,45,72202,68,31
147,26,98448,4,4
148,30,68020,46,28
149,25,118782,80,2
150,23,68817,88,38
151,23,68498,29,18
152,19,64106,7,39
153,63,100703,54,4
154,42,99628,14,20
155,51,118519,81,9
156,49,51517,24,13
157,53,62769,29,21
158,22,48406,72,42
159,49,95126,24,36
160,31,43760,72,32
161,46,88072,72,9
162,52,91848,1,49
163,18,106419,95,34
164,29,92978,99,1
165,33,23476,47,39
166,20,109812,23,48
167,48,49603,47,4
168,33,134087,98,36
169,51,32494,88,11
170,33,98469,28,45
171,29,50710,60,21
172,38,132227,70,31
173,29,95910,40,31
174,61,123239,96,42
175,24,65633,63,20
176,50,65212,79,15
177,62,115218,89,30
178,47,108937,28,47
179,60,133735,72,15
180,44,50266,43,35
181,33,76429,98,47
182,35,59527,2,18
183,31,131731,58,33
184,38,61087,61,12
185,33,23163,35,37
186,56,74860,21,9
187,54,92537,5,49
188,26,98836,58,39
189,21,60848,95,14
190,32,38941,25,11
191,42,139111,19,3
192,37,83151,95,31
193,60,56241,70,31
194,35,89669,69,34
195,22,66799,4,35
196,40,35111,3,40
197,23,38581,82,36
198,35,36255,43,14
199,41,119044,73,44
200,42,93333,89,12
